,COMPLEX_NAME,CPLX_INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NUMBER_CORRECTED,INCIDENT_NAME,INCIDENT_NAME_CORRECTED,START_YEAR,INC_MGMT_NUM_SITREPS,FOD_LIST
31,ANTELOPE COMPLEX,2007_NV-BMD-000311_ANTELOPE COMPLEX,NV-BMD-294,NV-BMD-000311,RAVEN,ANTELOPE COMPLEX,2007,2,"['{""ID"" : 19425, ""COORDS"" : (40.14111111, -120.67), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19427, ""COORDS"" : (40.14805556, -120.66388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 31.3, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19438, ""COORDS"" : (40.21972222, -120.66916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19443, ""COORDS"" : (40.23861111, -120.69833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19447, ""COORDS"" : (40.25, -120.67888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19449, ""COORDS"" : (40.15138889, -120.66305556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 187, ""CONT"" : 188.0}', '{""ID"" : 19574, ""COORDS"" : (40.29861111, -120.65055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 196.0}', '{""ID"" : 19602, ""COORDS"" : (40.28138889, -120.60666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 192, ""CONT"" : 196.0}', '{""ID"" : 21345, ""COORDS"" : (39.69888889, -120.66222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 191.0}', '{""ID"" : 22035, ""MTBS_ID"" : ""CA4013912058220070705(ANTELOPE COMPLEX (WHEELER))"", ""COORDS"" : (40.12861111, -120.63611111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 22905.81, ""DISC"" : 186, ""CONT"" : 202.0}', '{""ID"" : 340346, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0005, -116.9084), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3283.0, ""DISC"" : 197, ""CONT"" : 211.0}', '{""ID"" : 340349, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (39.89153, -117.2711), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40012.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340350, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1244, -117.3309), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9728.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340351, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1533, -116.9851), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28142.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340352, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0185, -117.5121), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25380.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 342524, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.6975, -116.5464), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28979.0, ""DISC"" : 198, ""CONT"" : 203.0}']"
32,ANTELOPE COMPLEX,2007_NV-BMD-000311_ANTELOPE COMPLEX,NV-BMD-301,NV-BMD-000311,DUNPHY,ANTELOPE COMPLEX,2007,3,"['{""ID"" : 19425, ""COORDS"" : (40.14111111, -120.67), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19427, ""COORDS"" : (40.14805556, -120.66388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 31.3, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19438, ""COORDS"" : (40.21972222, -120.66916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19443, ""COORDS"" : (40.23861111, -120.69833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19447, ""COORDS"" : (40.25, -120.67888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19449, ""COORDS"" : (40.15138889, -120.66305556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 187, ""CONT"" : 188.0}', '{""ID"" : 19574, ""COORDS"" : (40.29861111, -120.65055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 196.0}', '{""ID"" : 19602, ""COORDS"" : (40.28138889, -120.60666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 192, ""CONT"" : 196.0}', '{""ID"" : 21345, ""COORDS"" : (39.69888889, -120.66222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 191.0}', '{""ID"" : 22035, ""MTBS_ID"" : ""CA4013912058220070705(ANTELOPE COMPLEX (WHEELER))"", ""COORDS"" : (40.12861111, -120.63611111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 22905.81, ""DISC"" : 186, ""CONT"" : 202.0}', '{""ID"" : 340346, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0005, -116.9084), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3283.0, ""DISC"" : 197, ""CONT"" : 211.0}', '{""ID"" : 340349, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (39.89153, -117.2711), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40012.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340350, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1244, -117.3309), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9728.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340351, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1533, -116.9851), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28142.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340352, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0185, -117.5121), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25380.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 342524, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.6975, -116.5464), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28979.0, ""DISC"" : 198, ""CONT"" : 203.0}']"
33,ANTELOPE COMPLEX,2007_NV-BMD-000311_ANTELOPE COMPLEX,NV-BMD-303,NV-BMD-000311,PARIS,ANTELOPE COMPLEX,2007,1,"['{""ID"" : 19425, ""COORDS"" : (40.14111111, -120.67), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19427, ""COORDS"" : (40.14805556, -120.66388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 31.3, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19438, ""COORDS"" : (40.21972222, -120.66916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19443, ""COORDS"" : (40.23861111, -120.69833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19447, ""COORDS"" : (40.25, -120.67888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19449, ""COORDS"" : (40.15138889, -120.66305556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 187, ""CONT"" : 188.0}', '{""ID"" : 19574, ""COORDS"" : (40.29861111, -120.65055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 196.0}', '{""ID"" : 19602, ""COORDS"" : (40.28138889, -120.60666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 192, ""CONT"" : 196.0}', '{""ID"" : 21345, ""COORDS"" : (39.69888889, -120.66222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 191.0}', '{""ID"" : 22035, ""MTBS_ID"" : ""CA4013912058220070705(ANTELOPE COMPLEX (WHEELER))"", ""COORDS"" : (40.12861111, -120.63611111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 22905.81, ""DISC"" : 186, ""CONT"" : 202.0}', '{""ID"" : 340346, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0005, -116.9084), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3283.0, ""DISC"" : 197, ""CONT"" : 211.0}', '{""ID"" : 340349, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (39.89153, -117.2711), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40012.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340350, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1244, -117.3309), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9728.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340351, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1533, -116.9851), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28142.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340352, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0185, -117.5121), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25380.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 342524, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.6975, -116.5464), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28979.0, ""DISC"" : 198, ""CONT"" : 203.0}']"
34,ANTELOPE COMPLEX,2007_NV-BMD-000311_ANTELOPE COMPLEX,NV-BMD-306,NV-BMD-000311,CAIN MT.,ANTELOPE COMPLEX,2007,2,"['{""ID"" : 19425, ""COORDS"" : (40.14111111, -120.67), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19427, ""COORDS"" : (40.14805556, -120.66388889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 31.3, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19438, ""COORDS"" : (40.21972222, -120.66916667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19443, ""COORDS"" : (40.23861111, -120.69833333), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19447, ""COORDS"" : (40.25, -120.67888889), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 186, ""CONT"" : 187.0}', '{""ID"" : 19449, ""COORDS"" : (40.15138889, -120.66305556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.2, ""DISC"" : 187, ""CONT"" : 188.0}', '{""ID"" : 19574, ""COORDS"" : (40.29861111, -120.65055556), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 196.0}', '{""ID"" : 19602, ""COORDS"" : (40.28138889, -120.60666667), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 192, ""CONT"" : 196.0}', '{""ID"" : 21345, ""COORDS"" : (39.69888889, -120.66222222), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.1, ""DISC"" : 191, ""CONT"" : 191.0}', '{""ID"" : 22035, ""MTBS_ID"" : ""CA4013912058220070705(ANTELOPE COMPLEX (WHEELER))"", ""COORDS"" : (40.12861111, -120.63611111), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 22905.81, ""DISC"" : 186, ""CONT"" : 202.0}', '{""ID"" : 340346, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0005, -116.9084), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 3283.0, ""DISC"" : 197, ""CONT"" : 211.0}', '{""ID"" : 340349, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (39.89153, -117.2711), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 40012.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340350, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1244, -117.3309), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 9728.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340351, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.1533, -116.9851), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28142.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 340352, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.0185, -117.5121), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 25380.0, ""DISC"" : 198, ""CONT"" : 211.0}', '{""ID"" : 342524, ""MTBS_ID"" : ""NV4011611706720070716(ANTELOPE COMPLEX)"", ""COORDS"" : (40.6975, -116.5464), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28979.0, ""DISC"" : 198, ""CONT"" : 203.0}']"
35,ANTELOPE COMPLEX,2012_NV-BMD-20054_ANTELOPE COMPLEX,NV-BMD-20054,NV-BMD-20054,ANTELOPE COMPLEX,ANTELOPE COMPLEX,2012,3,"['{""ID"" : 201506648, ""MTBS_ID"" : ""NV3992311735620120514(ANTELOPE)"", ""COORDS"" : (39.9231, -117.3556), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 2178.0, ""DISC"" : 135, ""CONT"" : 137.0}', '{""ID"" : 201506649, ""MTBS_ID"" : ""NV3991811733920120514(ANTELOPE COMPLEX)"", ""COORDS"" : (39.9175, -117.3389), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 3589.0, ""DISC"" : 135, ""CONT"" : 137.0}', '{""ID"" : 201506651, ""MTBS_ID"" : ""NV3992311735620120514(ANTELOPE)"", ""COORDS"" : (39.9308, -117.3939), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 300.0, ""DISC"" : 135, ""CONT"" : 137.0}']"
36,APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,FL-FNF-99009,FL-FNF-99012,OWL CREEK,APALACHICOLA COMPLEX,1999,4,"['{""ID"" : 117053, ""MTBS_ID"" : ""FL3025308443519990415(COW HOUSE)"", ""COORDS"" : (30.26666667, -84.43333333), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 6675.0, ""DISC"" : 105, ""CONT"" : 127.0}', '{""ID"" : 117124, ""MTBS_ID"" : ""FL3015108450519990412(OWL CREEK)"", ""COORDS"" : (30.16833333, -84.49833333), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 2624.0, ""DISC"" : 102, ""CONT"" : 120.0}']"
37,APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,FL-FNF-99012,FL-FNF-99012,APALACHICOLA COMPLEX,APALACHICOLA COMPLEX,1999,10,"['{""ID"" : 117053, ""MTBS_ID"" : ""FL3025308443519990415(COW HOUSE)"", ""COORDS"" : (30.26666667, -84.43333333), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 6675.0, ""DISC"" : 105, ""CONT"" : 127.0}', '{""ID"" : 117124, ""MTBS_ID"" : ""FL3015108450519990412(OWL CREEK)"", ""COORDS"" : (30.16833333, -84.49833333), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 2624.0, ""DISC"" : 102, ""CONT"" : 120.0}']"
38,APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,FL-FNF-99012,FL-FNF-99012,COW HOUSE,APALACHICOLA COMPLEX,1999,4,"['{""ID"" : 117053, ""MTBS_ID"" : ""FL3025308443519990415(COW HOUSE)"", ""COORDS"" : (30.26666667, -84.43333333), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 6675.0, ""DISC"" : 105, ""CONT"" : 127.0}', '{""ID"" : 117124, ""MTBS_ID"" : ""FL3015108450519990412(OWL CREEK)"", ""COORDS"" : (30.16833333, -84.49833333), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 2624.0, ""DISC"" : 102, ""CONT"" : 120.0}']"
39,ARBUCKLE COMPLEX,2000_OK-OKS-00070_ARBUCKLE COMPLEX,OK-OKS-00070,OK-OKS-00070,ARBUCKLE,ARBUCKLE COMPLEX,2000,3,"['{""ID"" : 15001413, ""MTBS_ID"" : ""OK3440609717820000920(UNNAMED)"", ""COORDS"" : (34.38333333, -97.16666666), ""CAUSE"" : ""13(Missing/Undefined)"", ""SIZE"" : 11577.0, ""DISC"" : 259, ""CONT"" : 269.0}']"
40,ARBUCKLE COMPLEX,2000_OK-OKS-00070_ARBUCKLE COMPLEX,OK-OKS-00070,OK-OKS-00070,ARBUCKLE COMPLEX,ARBUCKLE COMPLEX,2000,11,"['{""ID"" : 15001413, ""MTBS_ID"" : ""OK3440609717820000920(UNNAMED)"", ""COORDS"" : (34.38333333, -97.16666666), ""CAUSE"" : ""13(Missing/Undefined)"", ""SIZE"" : 11577.0, ""DISC"" : 259, ""CONT"" : 269.0}']"
41,ARBUCKLE COMPLEX,2011_OK-OKS-511004_ARBUCKLE COMPLEX,OK-OKS-511004,OK-OKS-511004,ARBUCKLE COMPLEX,ARBUCKLE COMPLEX,2011,4,"['{""ID"" : 201112034, ""MTBS_ID"" : ""OK3436309706120110714(ARBUCKLECOMPLEX)"", ""COORDS"" : (34.6497, -97.1258), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 4800.0, ""DISC"" : 194, ""CONT"" : 199.0}']"
42,ARCTIC DAN COMPLEX,2013_WA-NCP-000032_ARCTIC DAN COMPLEX,WA-NCP-000009,WA-NCP-000032,ARCTIC DAN,ARCTIC DAN COMPLEX,2013,5,"['{""ID"" : 201780136, ""COORDS"" : (48.7133, -121.0497), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 219, ""CONT"" : 229.0}', '{""ID"" : 201780139, ""COORDS"" : (48.5664, -120.9969), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 221, ""CONT"" : 273.0}', '{""ID"" : 201780140, ""COORDS"" : (48.77636, -121.09565), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 226, ""CONT"" : 273.0}', '{""ID"" : 201780141, ""COORDS"" : (48.8808, -121.11793), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 252.0, ""DISC"" : 198, ""CONT"" : 323.0}']"
43,ARCTIC DAN COMPLEX,2013_WA-NCP-000032_ARCTIC DAN COMPLEX,WA-NCP-000032,WA-NCP-000032,ARCTIC DAN COMPLEX,ARCTIC DAN COMPLEX,2013,5,"['{""ID"" : 201780136, ""COORDS"" : (48.7133, -121.0497), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 0.5, ""DISC"" : 219, ""CONT"" : 229.0}', '{""ID"" : 201780139, ""COORDS"" : (48.5664, -120.9969), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 2.0, ""DISC"" : 221, ""CONT"" : 273.0}', '{""ID"" : 201780140, ""COORDS"" : (48.77636, -121.09565), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 1.0, ""DISC"" : 226, ""CONT"" : 273.0}', '{""ID"" : 201780141, ""COORDS"" : (48.8808, -121.11793), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 252.0, ""DISC"" : 198, ""CONT"" : 323.0}']"
44,ARMSTRONG/ FRANKS COMPLEX,2010_TX-TXS-010022_ARMSTRONG-FRANKS,TX-TXS-010022,TX-TXS-010022,ARMSTRONG-FRANKS,ARMSTRONG-FRANKS,2010,2,"['{""ID"" : 201336864, ""MTBS_ID"" : ""TX3148310284320101115(304)"", ""COORDS"" : (31.501125, -102.891125), ""CAUSE"" : ""2(Equipment Use)"", ""SIZE"" : 4000.0, ""DISC"" : 319, ""CONT"" : 319.0}']"
45,ARROW COMPLEX,2012_CA-HUU-005790_ARROW,CA-HUU-005790,CA-HUU-005790,ARROW,ARROW,2012,5,"['{""ID"" : 201641732, ""COORDS"" : (41.451667, -123.908333), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 90.0, ""DISC"" : 278, ""CONT"" : ""unknown""}']"
46,ATASCOSA COMPLEX,2006_TX-TXS-066070_ATASCOSA COMPLEX,TX-TXS-066070,TX-TXS-066070,ATASCOSA COMPLEX,ATASCOSA COMPLEX,2006,3,"['{""ID"" : 665587, ""COORDS"" : (28.95116998, -98.56132998), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 1085.0, ""DISC"" : 68, ""CONT"" : ""unknown""}']"
47,AUBERRY COMPLEX,2006_CA-FKU-06715_AUBERRY COMPLEX,CA-FKU-06715,CA-FKU-06715,AUBERRY COMPLEX,AUBERRY COMPLEX,2006,4,"['{""ID"" : 1305210, ""COORDS"" : (36.945, -119.68305555), ""CAUSE"" : ""9(Miscellaneous)"", ""SIZE"" : 180.0, ""DISC"" : 182, ""CONT"" : ""unknown""}', '{""ID"" : 1305224, ""COORDS"" : (37.11888888, -119.52388888), ""CAUSE"" : ""1(Lightning)"", ""SIZE"" : 28.0, ""DISC"" : 204, ""CONT"" : ""unknown""}']"
48,AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,NC-NCF-99086,NC-NCF-99086,AVEY COMPLEX,AVEY COMPLEX,1999,6,"['{""ID"" : 121355, ""MTBS_ID"" : ""NC3537908393019991115(AVEY CREEK)"", ""COORDS"" : (35.37555556, -83.94027778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 930.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121360, ""COORDS"" : (35.3975, -83.91), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 12.0, ""DISC"" : 319, ""CONT"" : 322.0}', '{""ID"" : 121361, ""MTBS_ID"" : ""NC3537908393019991115(AVEY CREEK)"", ""COORDS"" : (35.39722222, -83.92027778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1450.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121362, ""MTBS_ID"" : ""NC3535108395519991115(GOLDIE DEADEN)"", ""COORDS"" : (35.345, -83.94305556), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1090.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121363, ""MTBS_ID"" : ""NC3535108395519991115(GOLDIE DEADEN)"", ""COORDS"" : (35.35277778, -83.96972222), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1261.0, ""DISC"" : 319, ""CONT"" : 330.0}']"
49,AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,NC-NCF-99097,NC-NCF-99086,MAPLE SPRINGS,AVEY COMPLEX,1999,1,"['{""ID"" : 121355, ""MTBS_ID"" : ""NC3537908393019991115(AVEY CREEK)"", ""COORDS"" : (35.37555556, -83.94027778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 930.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121360, ""COORDS"" : (35.3975, -83.91), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 12.0, ""DISC"" : 319, ""CONT"" : 322.0}', '{""ID"" : 121361, ""MTBS_ID"" : ""NC3537908393019991115(AVEY CREEK)"", ""COORDS"" : (35.39722222, -83.92027778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1450.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121362, ""MTBS_ID"" : ""NC3535108395519991115(GOLDIE DEADEN)"", ""COORDS"" : (35.345, -83.94305556), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1090.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121363, ""MTBS_ID"" : ""NC3535108395519991115(GOLDIE DEADEN)"", ""COORDS"" : (35.35277778, -83.96972222), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1261.0, ""DISC"" : 319, ""CONT"" : 330.0}']"
50,AVEY COMPLEX,1999_NC-NCF-99086_AVEY COMPLEX,NC-NCF-99098,NC-NCF-99086,AVEY CREEK,AVEY COMPLEX,1999,1,"['{""ID"" : 121355, ""MTBS_ID"" : ""NC3537908393019991115(AVEY CREEK)"", ""COORDS"" : (35.37555556, -83.94027778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 930.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121360, ""COORDS"" : (35.3975, -83.91), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 12.0, ""DISC"" : 319, ""CONT"" : 322.0}', '{""ID"" : 121361, ""MTBS_ID"" : ""NC3537908393019991115(AVEY CREEK)"", ""COORDS"" : (35.39722222, -83.92027778), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1450.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121362, ""MTBS_ID"" : ""NC3535108395519991115(GOLDIE DEADEN)"", ""COORDS"" : (35.345, -83.94305556), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1090.0, ""DISC"" : 319, ""CONT"" : 330.0}', '{""ID"" : 121363, ""MTBS_ID"" : ""NC3535108395519991115(GOLDIE DEADEN)"", ""COORDS"" : (35.35277778, -83.96972222), ""CAUSE"" : ""7(Arson)"", ""SIZE"" : 1261.0, ""DISC"" : 319, ""CONT"" : 330.0}']"
